INFO 2026-05-04 17:16:12,680 autoreload 27920 128927210223424 Watching for file changes with StatReloader
INFO 2026-05-04 17:20:26,862 autoreload 30009 129928349902656 Watching for file changes with StatReloader
INFO 2026-05-04 17:30:33,755 autoreload 30009 129928349902656 /code/projets/while_health/backend/config/settings.py changed, reloading.
INFO 2026-05-04 17:32:43,017 autoreload 35140 129949397571392 Watching for file changes with StatReloader
INFO 2026-05-04 17:33:58,472 autoreload 35794 134234026755904 Watching for file changes with StatReloader
INFO 2026-05-04 17:34:02,142 log 35794 134233834124992 "GET / HTTP/1.1" 200 23486
INFO 2026-05-04 17:34:02,205 log 35794 134233834124992 "GET /static/css/style.css HTTP/1.1" 200 20187
WARNING 2026-05-04 17:34:02,235 log 35794 134233834124992 "GET /media/about/about-test.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,236 log 35794 134233825732288 "GET /media/departements/cardiologie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,330 log 35794 134233834124992 "GET /media/departements/pediatrie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,358 log 35794 134233808946880 "GET /media/departements/radiologie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,376 log 35794 134233808946880 "GET /media/avatar/doctor-diane.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,379 log 35794 134233834124992 "GET /media/avatar/doctor-charles.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,389 log 35794 134233825732288 "GET /media/departements/chirurgie.svg HTTP/1.1" 404 179
INFO 2026-05-04 17:34:02,390 log 35794 134233800554176 "GET /static/js/main.js HTTP/1.1" 200 1177
WARNING 2026-05-04 17:34:02,390 log 35794 134233792161472 "GET /media/avatar/doctor-alain.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,397 log 35794 134233783768768 "GET /media/avatar/doctor-brenda.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,416 log 35794 134233783768768 "GET /media/hero/hero-test.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:02,669 log 35794 134233783768768 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2026-05-04 17:34:08,758 log 35794 134233783768768 "GET / HTTP/1.1" 200 23486
WARNING 2026-05-04 17:34:08,800 log 35794 134233783768768 "GET /media/about/about-test.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,810 log 35794 134233808946880 "GET /media/departements/cardiologie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,842 log 35794 134233792161472 "GET /media/departements/chirurgie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,843 log 35794 134233808946880 "GET /media/avatar/doctor-brenda.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,843 log 35794 134233825732288 "GET /media/avatar/doctor-alain.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,844 log 35794 134233800554176 "GET /media/departements/radiologie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,844 log 35794 134233834124992 "GET /media/departements/pediatrie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,853 log 35794 134233792161472 "GET /media/hero/hero-test.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,866 log 35794 134233800554176 "GET /media/avatar/doctor-diane.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:08,866 log 35794 134233825732288 "GET /media/avatar/doctor-charles.svg HTTP/1.1" 404 179
INFO 2026-05-04 17:34:21,106 log 35794 134233800554176 "GET /appointment/ HTTP/1.1" 200 54099
INFO 2026-05-04 17:34:27,520 log 35794 134233800554176 "GET / HTTP/1.1" 200 23486
WARNING 2026-05-04 17:34:27,578 log 35794 134233783768768 "GET /media/avatar/doctor-alain.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,579 log 35794 134233808946880 "GET /media/departements/chirurgie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,579 log 35794 134233800554176 "GET /media/about/about-test.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,580 log 35794 134233825732288 "GET /media/departements/cardiologie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,581 log 35794 134233792161472 "GET /media/departements/pediatrie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,582 log 35794 134233834124992 "GET /media/departements/radiologie.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,595 log 35794 134233825732288 "GET /media/avatar/doctor-brenda.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,613 log 35794 134233783768768 "GET /media/avatar/doctor-charles.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,613 log 35794 134233834124992 "GET /media/avatar/doctor-diane.svg HTTP/1.1" 404 179
WARNING 2026-05-04 17:34:27,615 log 35794 134233792161472 "GET /media/hero/hero-test.svg HTTP/1.1" 404 179
INFO 2026-05-04 17:34:31,723 log 35794 134233792161472 "GET /appointment/ HTTP/1.1" 200 54099
INFO 2026-05-04 17:34:37,135 log 35794 134233792161472 "GET /available-slots/?staff_id=1 HTTP/1.1" 200 13701
